contract_no,field_name,seller,secondary_seller,general_contractor,contract_qty,created_at,updated_at,memo,contract_date,start_date,jv,unit_price
1160800018,葛飾区立常盤中学校建築工事,阪和興業㈱　土木建材部　土木建材第2課,阪和興業㈱　土木建材部　土木建材第2課,株式会社トーヨー冨士工,2000,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:52.716402+00:00,,,,,
1108200006,（仮称）箱崎町ビルプロジェクト,丸壽産業（株）東京支店,上原成商事　㈱　　東京支店,株式会社　辰,750,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:47.904498+00:00,,,,,
1149500005,（仮称）クレヴィスタ墨田Ⅰ新築工事,×㈱　土金,三谷商事㈱　東京支店,（株）シマ,1000.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:06.870239+00:00,,,,,
2800031,（仮称）サンクレイドル葛西ステーションウィズ,東信建材　㈱,東信建材　㈱,株式会社 小川建設,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
66100035,江東区南砂第三保育園改修工事,㈱ 大聡,㈱ 大聡,株式会社 赤石建設,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1167700002,特別区道墨１２３号路線外道路改良工事,TKConneCT　（株）,TKConneCT　（株）,株式会社 植松土木,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
1026100005,（仮称）特殊特別養護老人ホーム はるえの里新築工事,ティーシートレーディング　㈱,河島コンクリート工業㈱,立花建設㈱,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
3800082,（仮称）アパホテル〈日本橋 小伝馬町駅前〉新築工事,野原産業セメント（株）（1）,野原産業セメント（株）（1）,新日本建設 株式会社,1000,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:24:26.485795+00:00,,,,,
1072300003,（仮称）足立区綾瀬５丁目計画新築工事,塚本建材　㈱　東京支店,塚本建材　㈱　東京支店,古久根建設株式会社,,2026-06-25T05:55:46.23221+00:00,2026-06-25T05:55:46.23221+00:00,,,,,
900047,（仮称）江東区佐賀1丁目計画新築工事,三谷商事㈱　東京支店,ジャパン建材㈱　建設資材課（事務代行課）,川口土木建築工業 株式会社,4000,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:49.780588+00:00,,,,,
